difficulty,model,Dice_median,Dice_mean,Dice_std,Dice_std_error,Dice_n
all,CannyFill,0.0374482908774221,0.04692131580367175,0.047092547342998475,0.008458071188749437,31
all,GC+brush,0.1770721633106954,0.17727246567382865,0.0795070090370108,0.014279880371337848,31
all,Gaussian,0.1615038496150385,0.17093476789523257,0.06943339232598718,0.012470605399452482,31
all,Otsu,0.0726259191903218,0.08331645158362752,0.03578012316982968,0.006426299828472467,31
all,mSAM,0.0269694409528323,0.02876863743223087,0.022748727810151605,0.004085792129067173,31
all,mSAM+pts,0.1272826136209162,0.1391601951174062,0.09180580751116213,0.016488809785854236,31
easy,CannyFill,0.0291410497885497,0.04722483495189341,0.05611849557593976,0.016920363056782878,11
easy,GC+brush,0.180282062000836,0.21358249447492259,0.08745271603792037,0.026367985999570725,11
easy,Gaussian,0.1810208267329209,0.20312384402657932,0.06887640985515273,0.020767018945116227,11
easy,Otsu,0.0998303873916911,0.10101794562915113,0.034730995126928864,0.010471789039244077,11
easy,mSAM,0.0269694409528323,0.02584368907369061,0.017016553989065663,0.005130684073323295,11
easy,mSAM+pts,0.1537212807898093,0.18627389948998624,0.11344381601054782,0.0342045974993727,11
hard,CannyFill,0.037159126771866696,0.04192562418367561,0.04079146146469359,0.012899392731541986,10
hard,GC+brush,0.10859854775588071,0.12272022454907687,0.05431013574713136,0.01717437289938656,10
hard,Gaussian,0.1055747113662108,0.12066104309594752,0.048151687788135215,0.015226900659182254,10
hard,Otsu,0.0555982040896625,0.05961685795688229,0.03062759946074187,0.009685297355928912,10
hard,mSAM,0.0133758257321578,0.022155849428145122,0.021283325482913198,0.006730378470870878,10
hard,mSAM+pts,0.07274119329894,0.08262843643991744,0.05798484040551502,0.018336416544278894,10
medium,CannyFill,0.04669239769290895,0.05158313636062406,0.046660697981871335,0.014755408283593549,10
medium,GC+brush,0.21007039383956128,0.19188367511737706,0.0668480008129053,0.02113919395975681,10
medium,Gaussian,0.19929549356293702,0.1858005089500362,0.06449904043451277,0.02039638746683567,10
medium,Otsu,0.0869551774895,0.08754440176029678,0.03101865521881918,0.00980896004469372,10
medium,mSAM,0.0405863099192878,0.0385988686307109,0.02799792703110472,0.008853721918148684,10
medium,mSAM+pts,0.15513059781882876,0.143866878985057,0.06437509936345737,0.02035719385881809,10
